주차,주간_마지막_누적가입자,직전주_대비_누적증가,주간_신규가입_합계,주간_요청수_합계,주간_DAU_합계,주간_평균_eCPM,주간_평균_일치율,적용환율,추정_실효수익화율,주간_광고매출_실제,주간_광고매출_추정,실제_실효수익화율,실제대비_추정오차,주간_광고집행비용_합계
2026-01-04,63,63,63,0,0,,,1450,0,0,0,,0,0
2026-01-11,934,871,871,25476,2896,5,1,1450,0,42075,40144,0,1931,152285
2026-01-18,1137,203,203,34483,3275,3,1,1450,0,33705,36522,0,-2817,33439
2026-01-25,1387,250,250,36077,3573,3,1,1450,0,34575,40501,0,-5926,51229
2026-02-01,1480,93,93,31965,3362,3,1,1450,0,31260,31311,0,-51,0
2026-02-08,1648,168,168,30537,3236,3,1,1450,0,28710,28439,0,271,0
2026-02-15,1967,319,319,31097,3430,3,1,1450,0,31560,31392,0,168,0
2026-02-22,2301,334,334,30428,3350,4,1,1450,0,37920,36090,0,1830,0
2026-03-01,2515,214,214,31732,3418,4,1,1450,0,37410,36680,0,730,0
2026-03-08,2672,157,157,31500,3360,4,1,1450,0,40950,40064,0,886,117083
2026-03-15,2965,293,293,33892,3580,3,1,1450,0,35625,37091,0,-1466,54637
2026-03-22,4241,1276,1276,71775,5476,4,1,1450,0,42465,94681,0,-52216,380940
